"player_id","player_name","position","team","week","n_simulations","mean","median","floor","ceiling","p15","p85","probability_zero","probability_active","active_mean","active_p15","active_p85"
"SlayDa00","Darius Slayton","WR","NYG",1,100,7.477,5.75,1.57,12.26,1.57,12.26,0.1,1,7.477,1.57,12.26
"RobiBr01","Brian Robinson Jr","RB","ATL",1,100,7.464,6.65,1.9,12.99,1.9,12.99,0.01,1,7.464,1.9,12.99
"TracTy00","Tyrone Tracy Jr.","RB","NYG",1,100,7.457,6.45,1.785,13.005,1.785,13.005,0.02,1,7.457,1.785,13.005
"CokeJa01","Jalen Coker","WR","CAR",1,100,7.4442,6.4,1.185,14.6,1.185,14.6,0.05,1,7.4442,1.185,14.6
"KincDa00","Dalton Kincaid","TE","BUF",1,100,7.4425,6.9,2.22,12.6,2.22,12.6,0.02,1,7.4425,2.22,12.6
"OttoCa00","Cade Otton","TE","TB",1,100,7.4145,6.175,1.45,14.9125,1.45,14.9125,0.03,1,7.4145,1.45,14.9125
"HarrTr03","Tre' Harris","WR","LAC",1,100,7.405,7.1,1.3,12.515,1.3,12.515,0.07,1,7.405,1.3,12.515
"MitcKe01","Keaton Mitchell","RB","LAC",1,100,7.364,4.95,1.47,15.39,1.47,15.39,0,1,7.364,1.47,15.39
"RobiWa00","Wan'Dale Robinson","WR","TEN",1,100,7.332,6.05,1.9,12.13,1.9,12.13,0.03,1,7.332,1.9,12.13
"BlacKa00","Kaelon Black","RB","SF",1,100,7.257,5.75,1.485,12.865,1.485,12.865,0,1,7.257,1.485,12.865
"HarvRj00","RJ Harvey","RB","DEN",1,100,7.236,6.05,1.9,12.3,1.9,12.3,0,1,7.236,1.9,12.3
"WhitRa00","Rachaad White","RB","WAS",1,100,7.209,5.3,1.685,11.7,1.685,11.7,0.02,1,7.209,1.685,11.7
"CrosJa00","Jacory Croskey-Merritt","RB","WAS",1,100,7.17,6.3,1.8,12.13,1.8,12.13,0,1,7.17,1.8,12.13
"BrowBa01","Barion Brown","WR","NO",1,100,7.162,5.6,0.985,13.96,0.985,13.96,0.1,1,7.162,0.985,13.96
